Date,Pike_Low,Pike_Mid,Pike_High,Lock 5 
1/06/2017,14.55,14.55,14.55,16.3
2/06/2017,14.55,14.55,14.55,16.3
3/06/2017,14.55,14.55,14.55,16.3
4/06/2017,14.55,14.55,14.55,16.3
5/06/2017,14.55,14.55,14.55,16.3
6/06/2017,14.55,14.55,14.55,16.3
7/06/2017,14.55,14.55,14.55,16.3
8/06/2017,14.55,14.55,14.55,16.3
9/06/2017,14.55,14.55,14.55,16.3
10/06/2017,14.55,14.55,14.55,16.3
11/06/2017,14.55,14.55,14.55,16.3
12/06/2017,14.55,14.55,14.55,16.3
13/06/2017,14.55,14.55,14.55,16.3
14/06/2017,14.55,14.55,14.55,16.3
15/06/2017,14.55,14.55,14.55,16.3
16/06/2017,14.55,14.55,14.55,16.3
17/06/2017,14.55,14.55,14.55,16.3
18/06/2017,14.55,14.55,14.55,16.3
19/06/2017,14.55,14.55,14.55,16.3
20/06/2017,14.55,14.55,14.55,16.3
21/06/2017,14.55,14.55,14.55,16.3
22/06/2017,14.55,14.55,14.55,16.3
23/06/2017,14.55,14.55,14.55,16.3
24/06/2017,14.55,14.55,14.55,16.3
25/06/2017,14.55,14.55,14.55,16.3
26/06/2017,14.55,14.55,14.55,16.3
27/06/2017,14.55,14.55,14.55,16.3
28/06/2017,14.55,14.55,14.55,16.3
29/06/2017,14.55,14.55,14.55,16.3
30/06/2017,14.55,14.55,14.55,16.3
1/07/2017,14.55,14.55,14.55,16.3
2/07/2017,14.575,14.575,14.575,16.325
3/07/2017,14.6,14.6,14.6,16.35
4/07/2017,14.625,14.625,14.625,16.375
5/07/2017,14.65,14.65,14.65,16.4
6/07/2017,14.675,14.675,14.675,16.425
7/07/2017,14.7,14.7,14.7,16.45
8/07/2017,14.725,14.725,14.725,16.475
9/07/2017,14.75,14.75,14.75,16.5
10/07/2017,14.775,14.775,14.775,16.525
11/07/2017,14.8,14.8,14.8,16.55
12/07/2017,14.825,14.825,14.825,16.575
13/07/2017,14.85,14.85,14.85,16.6
14/07/2017,14.875,14.875,14.875,16.625
15/07/2017,14.9,14.9,14.9,16.65
16/07/2017,14.925,14.925,14.925,16.675
17/07/2017,14.95,14.95,14.95,16.7
18/07/2017,14.975,14.975,14.975,16.725
19/07/2017,15,15,15,16.75
20/07/2017,15,15.025,15.025,16.775
21/07/2017,15,15.05,15.05,16.8
22/07/2017,15,15.075,15.075,16.8
23/07/2017,15,15.1,15.1,16.8
24/07/2017,15,15.125,15.125,16.8
25/07/2017,15,15.15,15.15,16.8
26/07/2017,15,15.175,15.175,16.8
27/07/2017,15,15.2,15.2,16.8
28/07/2017,15,15.225,15.225,16.8
29/07/2017,15,15.25,15.25,16.8
30/07/2017,15,15.275,15.275,16.8
31/07/2017,15,15.3,15.3,16.8
1/08/2017,15,15.3,15.325,16.8
2/08/2017,15,15.3,15.35,16.8
3/08/2017,15,15.3,15.375,16.8
4/08/2017,15,15.3,15.4,16.8
5/08/2017,15,15.3,15.425,16.8
6/08/2017,15,15.3,15.45,16.8
7/08/2017,15,15.3,15.475,16.8
8/08/2017,15,15.3,15.5,16.8
9/08/2017,15,15.3,15.525,16.8
10/08/2017,15,15.3,15.55,16.8
11/08/2017,15,15.3,15.575,16.8
12/08/2017,15,15.3,15.6,16.8
13/08/2017,15,15.3,15.6,16.8
14/08/2017,15,15.3,15.6,16.8
15/08/2017,15,15.3,15.6,16.8
16/08/2017,15,15.3,15.6,16.8
17/08/2017,15,15.3,15.6,16.8
18/08/2017,14.95,15.3,15.6,16.8
19/08/2017,14.9,15.3,15.6,16.8
20/08/2017,14.85,15.3,15.6,16.775
21/08/2017,14.8,15.3,15.6,16.75
22/08/2017,14.75,15.3,15.6,16.725
23/08/2017,14.7,15.3,15.6,16.7
24/08/2017,14.65,15.3,15.6,16.675
25/08/2017,14.6,15.3,15.6,16.65
26/08/2017,14.55,15.3,15.6,16.625
27/08/2017,14.55,15.3,15.6,16.6
28/08/2017,14.55,15.3,15.6,16.575
29/08/2017,14.55,15.3,15.6,16.55
30/08/2017,14.55,15.25,15.6,16.525
31/08/2017,14.55,15.2,15.6,16.5
1/09/2017,14.55,15.15,15.6,16.475
2/09/2017,14.55,15.1,15.6,16.45
3/09/2017,14.55,15.05,15.6,16.425
4/09/2017,14.55,15,15.6,16.4
5/09/2017,14.55,14.95,15.6,16.375
6/09/2017,14.55,14.9,15.6,16.35
7/09/2017,14.55,14.85,15.6,16.325
8/09/2017,14.55,14.8,15.6,16.3
9/09/2017,14.55,14.75,15.6,16.3
10/09/2017,14.55,14.7,15.6,16.3
11/09/2017,14.55,14.65,15.55,16.3
12/09/2017,14.55,14.6,15.5,16.3
13/09/2017,14.55,14.55,15.45,16.3
14/09/2017,14.55,14.55,15.4,16.3
15/09/2017,14.55,14.55,15.35,16.3
16/09/2017,14.55,14.55,15.3,16.3
17/09/2017,14.55,14.55,15.25,16.3
18/09/2017,14.55,14.55,15.2,16.3
19/09/2017,14.55,14.55,15.15,16.3
20/09/2017,14.55,14.55,15.1,16.3
21/09/2017,14.55,14.55,15.05,16.3
22/09/2017,14.55,14.55,15,16.3
23/09/2017,14.55,14.55,14.95,16.3
24/09/2017,14.55,14.55,14.9,16.3
25/09/2017,14.55,14.55,14.85,16.3
26/09/2017,14.55,14.55,14.8,16.3
27/09/2017,14.55,14.55,14.75,16.3
28/09/2017,14.55,14.55,14.7,16.3
29/09/2017,14.55,14.55,14.65,16.3
30/09/2017,14.55,14.55,14.6,16.3
1/10/2017,14.55,14.55,14.55,16.3
2/10/2017,14.55,14.55,14.55,16.3
3/10/2017,14.55,14.55,14.55,16.3
4/10/2017,14.55,14.55,14.55,16.3
5/10/2017,14.55,14.55,14.55,16.3
6/10/2017,14.55,14.55,14.55,16.3
7/10/2017,14.55,14.55,14.55,16.3
8/10/2017,14.55,14.55,14.55,16.3
9/10/2017,14.55,14.55,14.55,16.3
10/10/2017,14.55,14.55,14.55,16.3
11/10/2017,14.55,14.55,14.55,16.3
12/10/2017,14.55,14.55,14.55,16.3
13/10/2017,14.55,14.55,14.55,16.3
14/10/2017,14.55,14.55,14.55,16.3
15/10/2017,14.55,14.55,14.55,16.3
16/10/2017,14.55,14.55,14.55,16.3
17/10/2017,14.55,14.55,14.55,16.3
18/10/2017,14.55,14.55,14.55,16.3
19/10/2017,14.55,14.55,14.55,16.3
20/10/2017,14.55,14.55,14.55,16.3
21/10/2017,14.55,14.55,14.55,16.3
22/10/2017,14.55,14.55,14.55,16.3
23/10/2017,14.55,14.55,14.55,16.3
24/10/2017,14.55,14.55,14.55,16.3
25/10/2017,14.55,14.55,14.55,16.3
26/10/2017,14.55,14.55,14.55,16.3
27/10/2017,14.55,14.55,14.55,16.3
28/10/2017,14.55,14.55,14.55,16.3
29/10/2017,14.55,14.55,14.55,16.3
30/10/2017,14.55,14.55,14.55,16.3
31/10/2017,14.55,14.55,14.55,16.3
1/11/2017,14.55,14.55,14.55,16.3
2/11/2017,14.55,14.55,14.55,16.3
3/11/2017,14.55,14.55,14.55,16.3
4/11/2017,14.55,14.55,14.55,16.3
5/11/2017,14.55,14.55,14.55,16.3
6/11/2017,14.55,14.55,14.55,16.3
7/11/2017,14.55,14.55,14.55,16.3
8/11/2017,14.55,14.55,14.55,16.3
9/11/2017,14.55,14.55,14.55,16.3
10/11/2017,14.55,14.55,14.55,16.3
11/11/2017,14.55,14.55,14.55,16.3
12/11/2017,14.55,14.55,14.55,16.3
13/11/2017,14.55,14.55,14.55,16.3
14/11/2017,14.55,14.55,14.55,16.3
15/11/2017,14.55,14.55,14.55,16.3
16/11/2017,14.55,14.55,14.55,16.3
17/11/2017,14.55,14.55,14.55,16.3
18/11/2017,14.55,14.55,14.55,16.3
19/11/2017,14.55,14.55,14.55,16.3
20/11/2017,14.55,14.55,14.55,16.3
21/11/2017,14.55,14.55,14.55,16.3
22/11/2017,14.55,14.55,14.55,16.3
23/11/2017,14.55,14.55,14.55,16.3
24/11/2017,14.55,14.55,14.55,16.3
25/11/2017,14.55,14.55,14.55,16.3
26/11/2017,14.55,14.55,14.55,16.3
27/11/2017,14.55,14.55,14.55,16.3
28/11/2017,14.55,14.55,14.55,16.3
29/11/2017,14.55,14.55,14.55,16.3
30/11/2017,14.55,14.55,14.55,16.3
1/12/2017,14.55,14.55,14.55,16.3
2/12/2017,14.55,14.55,14.55,16.3
3/12/2017,14.55,14.55,14.55,16.3
4/12/2017,14.55,14.55,14.55,16.3
5/12/2017,14.55,14.55,14.55,16.3
6/12/2017,14.55,14.55,14.55,16.3
7/12/2017,14.55,14.55,14.55,16.3
8/12/2017,14.55,14.55,14.55,16.3
9/12/2017,14.55,14.55,14.55,16.3
10/12/2017,14.55,14.55,14.55,16.3
11/12/2017,14.55,14.55,14.55,16.3
12/12/2017,14.55,14.55,14.55,16.3
13/12/2017,14.55,14.55,14.55,16.3
14/12/2017,14.55,14.55,14.55,16.3
15/12/2017,14.55,14.55,14.55,16.3
16/12/2017,14.55,14.55,14.55,16.3
17/12/2017,14.55,14.55,14.55,16.3
18/12/2017,14.55,14.55,14.55,16.3
19/12/2017,14.55,14.55,14.55,16.3
20/12/2017,14.55,14.55,14.55,16.3
21/12/2017,14.55,14.55,14.55,16.3
22/12/2017,14.55,14.55,14.55,16.3
23/12/2017,14.55,14.55,14.55,16.3
24/12/2017,14.55,14.55,14.55,16.3
25/12/2017,14.55,14.55,14.55,16.3
26/12/2017,14.55,14.55,14.55,16.3
27/12/2017,14.55,14.55,14.55,16.3
28/12/2017,14.55,14.55,14.55,16.3
29/12/2017,14.55,14.55,14.55,16.3
30/12/2017,14.55,14.55,14.55,16.3
31/12/2017,14.55,14.55,14.55,16.3
1/01/2018,14.55,14.55,14.55,16.3
2/01/2018,14.55,14.55,14.55,16.3
3/01/2018,14.55,14.55,14.55,16.3
4/01/2018,14.55,14.55,14.55,16.3
5/01/2018,14.55,14.55,14.55,16.3
6/01/2018,14.55,14.55,14.55,16.3
7/01/2018,14.55,14.55,14.55,16.3
8/01/2018,14.55,14.55,14.55,16.3
9/01/2018,14.55,14.55,14.55,16.3
10/01/2018,14.55,14.55,14.55,16.3
11/01/2018,14.55,14.55,14.55,16.3
12/01/2018,14.55,14.55,14.55,16.3
13/01/2018,14.55,14.55,14.55,16.3
14/01/2018,14.55,14.55,14.55,16.3
15/01/2018,14.55,14.55,14.55,16.3
16/01/2018,14.55,14.55,14.55,16.3
17/01/2018,14.55,14.55,14.55,16.3
18/01/2018,14.55,14.55,14.55,16.3
19/01/2018,14.55,14.55,14.55,16.3
20/01/2018,14.55,14.55,14.55,16.3
21/01/2018,14.55,14.55,14.55,16.3
22/01/2018,14.55,14.55,14.55,16.3
23/01/2018,14.55,14.55,14.55,16.3
24/01/2018,14.55,14.55,14.55,16.3
25/01/2018,14.55,14.55,14.55,16.3
26/01/2018,14.55,14.55,14.55,16.3
27/01/2018,14.55,14.55,14.55,16.3
28/01/2018,14.55,14.55,14.55,16.3
29/01/2018,14.55,14.55,14.55,16.3
30/01/2018,14.55,14.55,14.55,16.3
31/01/2018,14.55,14.55,14.55,16.3
1/02/2018,14.55,14.55,14.55,16.3
2/02/2018,14.55,14.55,14.55,16.3
3/02/2018,14.55,14.55,14.55,16.3
4/02/2018,14.55,14.55,14.55,16.3
5/02/2018,14.55,14.55,14.55,16.3
6/02/2018,14.55,14.55,14.55,16.3
7/02/2018,14.55,14.55,14.55,16.3
8/02/2018,14.55,14.55,14.55,16.3
9/02/2018,14.55,14.55,14.55,16.3
10/02/2018,14.55,14.55,14.55,16.3
11/02/2018,14.55,14.55,14.55,16.3
12/02/2018,14.55,14.55,14.55,16.3
13/02/2018,14.55,14.55,14.55,16.3
14/02/2018,14.55,14.55,14.55,16.3
15/02/2018,14.55,14.55,14.55,16.3
16/02/2018,14.55,14.55,14.55,16.3
17/02/2018,14.55,14.55,14.55,16.3
18/02/2018,14.55,14.55,14.55,16.3
19/02/2018,14.55,14.55,14.55,16.3
20/02/2018,14.55,14.55,14.55,16.3
21/02/2018,14.55,14.55,14.55,16.3
22/02/2018,14.55,14.55,14.55,16.3
23/02/2018,14.55,14.55,14.55,16.3
24/02/2018,14.55,14.55,14.55,16.3
25/02/2018,14.55,14.55,14.55,16.3
26/02/2018,14.55,14.55,14.55,16.3
27/02/2018,14.55,14.55,14.55,16.3
28/02/2018,14.55,14.55,14.55,16.3
1/03/2018,14.55,14.55,14.55,16.3
2/03/2018,14.55,14.55,14.55,16.3
3/03/2018,14.55,14.55,14.55,16.3
4/03/2018,14.55,14.55,14.55,16.3
5/03/2018,14.55,14.55,14.55,16.3
6/03/2018,14.55,14.55,14.55,16.3
7/03/2018,14.55,14.55,14.55,16.3
8/03/2018,14.55,14.55,14.55,16.3
9/03/2018,14.55,14.55,14.55,16.3
10/03/2018,14.55,14.55,14.55,16.3
11/03/2018,14.55,14.55,14.55,16.3
12/03/2018,14.55,14.55,14.55,16.3
13/03/2018,14.55,14.55,14.55,16.3
14/03/2018,14.55,14.55,14.55,16.3
15/03/2018,14.55,14.55,14.55,16.3
16/03/2018,14.55,14.55,14.55,16.3
17/03/2018,14.55,14.55,14.55,16.3
18/03/2018,14.55,14.55,14.55,16.3
19/03/2018,14.55,14.55,14.55,16.3
20/03/2018,14.55,14.55,14.55,16.3
21/03/2018,14.55,14.55,14.55,16.3
22/03/2018,14.55,14.55,14.55,16.3
23/03/2018,14.55,14.55,14.55,16.3
24/03/2018,14.55,14.55,14.55,16.3
25/03/2018,14.55,14.55,14.55,16.3
26/03/2018,14.55,14.55,14.55,16.3
27/03/2018,14.55,14.55,14.55,16.3
28/03/2018,14.55,14.55,14.55,16.3
29/03/2018,14.55,14.55,14.55,16.3
30/03/2018,14.55,14.55,14.55,16.3
31/03/2018,14.55,14.55,14.55,16.3
1/04/2018,14.55,14.55,14.55,16.3
2/04/2018,14.55,14.55,14.55,16.3
3/04/2018,14.55,14.55,14.55,16.3
4/04/2018,14.55,14.55,14.55,16.3
5/04/2018,14.55,14.55,14.55,16.3
6/04/2018,14.55,14.55,14.55,16.3
7/04/2018,14.55,14.55,14.55,16.3
8/04/2018,14.55,14.55,14.55,16.3
9/04/2018,14.55,14.55,14.55,16.3
10/04/2018,14.55,14.55,14.55,16.3
11/04/2018,14.55,14.55,14.55,16.3
12/04/2018,14.55,14.55,14.55,16.3
13/04/2018,14.55,14.55,14.55,16.3
14/04/2018,14.55,14.55,14.55,16.3
15/04/2018,14.55,14.55,14.55,16.3
16/04/2018,14.55,14.55,14.55,16.3
17/04/2018,14.55,14.55,14.55,16.3
18/04/2018,14.55,14.55,14.55,16.3
19/04/2018,14.55,14.55,14.55,16.3
20/04/2018,14.55,14.55,14.55,16.3
21/04/2018,14.55,14.55,14.55,16.3
22/04/2018,14.55,14.55,14.55,16.3
23/04/2018,14.55,14.55,14.55,16.3
24/04/2018,14.55,14.55,14.55,16.3
25/04/2018,14.55,14.55,14.55,16.3
26/04/2018,14.55,14.55,14.55,16.3
27/04/2018,14.55,14.55,14.55,16.3
28/04/2018,14.55,14.55,14.55,16.3
29/04/2018,14.55,14.55,14.55,16.3
30/04/2018,14.55,14.55,14.55,16.3
1/05/2018,14.55,14.55,14.55,16.3
2/05/2018,14.55,14.55,14.55,16.3
3/05/2018,14.55,14.55,14.55,16.3
4/05/2018,14.55,14.55,14.55,16.3
5/05/2018,14.55,14.55,14.55,16.3
6/05/2018,14.55,14.55,14.55,16.3
7/05/2018,14.55,14.55,14.55,16.3
8/05/2018,14.55,14.55,14.55,16.3
9/05/2018,14.55,14.55,14.55,16.3
10/05/2018,14.55,14.55,14.55,16.3
11/05/2018,14.55,14.55,14.55,16.3
12/05/2018,14.55,14.55,14.55,16.3
13/05/2018,14.55,14.55,14.55,16.3
14/05/2018,14.55,14.55,14.55,16.3
15/05/2018,14.55,14.55,14.55,16.3
16/05/2018,14.55,14.55,14.55,16.3
17/05/2018,14.55,14.55,14.55,16.3
18/05/2018,14.55,14.55,14.55,16.3
19/05/2018,14.55,14.55,14.55,16.3
20/05/2018,14.55,14.55,14.55,16.3
21/05/2018,14.55,14.55,14.55,16.3
22/05/2018,14.55,14.55,14.55,16.3
23/05/2018,14.55,14.55,14.55,16.3
24/05/2018,14.55,14.55,14.55,16.3
25/05/2018,14.55,14.55,14.55,16.3
26/05/2018,14.55,14.55,14.55,16.3
27/05/2018,14.55,14.55,14.55,16.3
28/05/2018,14.55,14.55,14.55,16.3
29/05/2018,14.55,14.55,14.55,16.3
30/05/2018,14.55,14.55,14.55,16.3
31/05/2018,14.55,14.55,14.55,16.3
1/06/2018,14.55,14.55,14.55,16.3
2/06/2018,14.55,14.55,14.55,16.3
3/06/2018,14.55,14.55,14.55,16.3
4/06/2018,14.55,14.55,14.55,16.3
5/06/2018,14.55,14.55,14.55,16.3
6/06/2018,14.55,14.55,14.55,16.3
7/06/2018,14.55,14.55,14.55,16.3
8/06/2018,14.55,14.55,14.55,16.3
9/06/2018,14.55,14.55,14.55,16.3
10/06/2018,14.55,14.55,14.55,16.3
11/06/2018,14.55,14.55,14.55,16.3
12/06/2018,14.55,14.55,14.55,16.3
13/06/2018,14.55,14.55,14.55,16.3
14/06/2018,14.55,14.55,14.55,16.3
15/06/2018,14.55,14.55,14.55,16.3
16/06/2018,14.55,14.55,14.55,16.3
17/06/2018,14.55,14.55,14.55,16.3
18/06/2018,14.55,14.55,14.55,16.3
19/06/2018,14.55,14.55,14.55,16.3
20/06/2018,14.55,14.55,14.55,16.3
21/06/2018,14.55,14.55,14.55,16.3
22/06/2018,14.55,14.55,14.55,16.3
23/06/2018,14.55,14.55,14.55,16.3
24/06/2018,14.55,14.55,14.55,16.3
25/06/2018,14.55,14.55,14.55,16.3
26/06/2018,14.55,14.55,14.55,16.3
27/06/2018,14.55,14.55,14.55,16.3
28/06/2018,14.55,14.55,14.55,16.3
29/06/2018,14.55,14.55,14.55,16.3
30/06/2018,14.55,14.55,14.55,16.3
,,,,
,,,,
,,,,
,,,,
